title,album,year,lyrics,urls
Design in Malice,Violence Begets Violence,2011.0,"If I don't have the mag I get a bastard stabbed
With a knife big as a claw of an Alaskan crab
Young, I'm down with Vinnie give me six weeks
All y'all little pipsqueaks is up shit's creek
Think we a joke? I'll put three in your throat
Drunk off gin and C&C coke then we flee in a boat
Then I come open up the spot with Coconut Ciroc
So the hoes'll suck some cock
Then I'll forget to call her, after the nut I get attention deficit disorder
1-5 catch us off X's and dust
Whole clique of registered sex offenders
Pop shit, we'll hold your funeral XVIs
Niggas' money come in Roman numerals
Your block slow now, she fuck with them rappers
Cause y'all niggas' money took a muscle relaxer

I'm the mastermind with a faster rhyme
It's work, not how I pass the time
I'm the mastermind with a faster rhyme
It's work, not how I pass the time
I'm the mastermind with a faster rhyme
It's work, not how I pass the time
I'm the mastermind with a faster rhyme
It's work, not how I pass the time

Our music's strong enough to stop a bomb
I'm putting pressure on you kids like I'm a soccer mom
Who you think idea that it was to stop Saddam?
Who you think idea that was to drop the bomb?
You get your shit rocked ma like Mustafa song
You blowing smoke you motherfucker, you should cop a bong
The nine Taurus jam a little bit, the Glock is strong
I move brutal and use voodoo like Papa Shango
Over a billion Muslims, you could never stop Islam
Over a billion bullets shooting from the chopper's arm
The backstage filled with liquor and a lot of traum'
Cause it's been hard on Vinnie since my father gone
I'm about to blow the fucking horns like it was Rosh Hashanah
This is the calm before the storm, Armageddon's on
Carry a motherfucker head that I shred in 'Nam
I speak literally, figuratively, the prophet gone

I'm the mastermind with a faster rhyme
It's work, not how I pass the time
I'm the mastermind with a faster rhyme
It's work, not how I pass the time
I'm the mastermind with a faster rhyme
It's work, not how I pass the time
I'm the mastermind with a faster rhyme
It's work, not how I pass the time

You don't have to search and question
I have the purse and the murder weapon
Never get a second chance to make a first impression
I'm no virgin to murder and I'm an urban legend
Rather be of real service than to serve in Heaven
I don't like cops, I don't like co-operators
I don't like traitors or story corroborators
In any problem I'm the common denominator
My behaviour is the product of intoxicators
I'm just blood addicted, it's the other liquid
I'm above the limit off of the blood of the wicked
Don't even ask, there's somebody in the body bags
The blood matches what's on the hatchets and hockey mask
I'm never traumatized, I don't have to compromise
I don't have to economize the homicides
You tell Jesus to take the wheel, my faith is nil
I believe that even Jesus has a way to kill",https://genius.com/Jedi-mind-tricks-design-in-malice-lyrics
Uncommon Valor: A Vietnam Story,"Servants in Heaven, Kings in Hell",2006.0,"I have spoken to you from this office, where so many decisions have been made that shaped the history of this nation. I have always tried to do what was best. (Duck… and cover!)

I don't know why I'm over here, this job is evil
They sent me here to Vietnam to kill innocent people
My mother wrote me, said: ""The President, he doesn't care.""
He tryin' to leave the footprints of America here
They say we tryin' to stop Chinese expansion
But I ain't seen no Chinese since we landed
Sent my whole entire unit, thinkin' we could win
Against the Vietcong guerrillas there in Gia Định
I didn't sign up to kill women or any children
For every enemy soldier, we killin' six civilians
Yeah, and it ain't right to me
I ain't got enough of motherfuckin' fight in me
It frightens me, and I just wanna see my son and moms
But over here they droppin' seven million tons of bombs
I spent my days dodgin' all these booby-traps and mines
And at night prayin' to God that I get back alive
And I'm forced to sit back and wonder
Why I was a part of Operation Rolling Thunder
In a foxhole with nine months left here
Jungle like the fuckin' harbinger of death here

I don't wanna be here, I'm scared, I just wanna go home
You fucking kidding me?! Don't be a pussy!
Don't you love your country?!
I like being here, I'm ready (True story…)

Call me Thorburn, John A., staff sergeant
Marksman, skilled in killin', illin', I'm able and willin'
Kill a village elephant, rapin' and pillage a village
Illegitimate killers, U.S. Military guerrillas
This ain't no real war, Vietnam shit
World War II, that's a war, this is just a military conflict
Soothin' drug abusin', Vietnamese women screwin'
Sex, gamblin' and boozin' — all this shit is amusin'
Bitches and guns, this is every man's dream
I don't wanna go home where I'm just an ordinary human being
Special Op, Huey chopper gun ship, run shit
Gook run when the minigun spit, won't miss
Kill shit, spit four-thousand bullets a minute
Victor Charlie, hair-trigger, hit it, I'm in it to win it
Get it, the lieutenant hinted, the villain, I been it
The killin', I did it, cripple, did it
Pictures I painted is vivid, live it
A wizard with weapons: the secret mission, we 'bout to begin it
Government funded, behind enemy lines
Bullets is sprayin', it's heatin' up a hundred degrees
The enemy's the North Vietnamese, bitch please!
Ain't no sweat, I'm told be at ease
Until I see the pilot got hit, and we 'bout to hit some trees
Tail rotor broke, crash land
American man in Cambodia, right in the enemy hand
Take a swig of the Whiskey to calm us
Them yellow men wearin' black pajamas
They wanna harm us, they all up on us
Bang bang, bullet hit my chest, feel no pain
To my left, the Captain caught a bullet right in his brain
Body parts flyin', loss of limbs, explosions
Bad intentions, I see my best friend's intestines
Pray to the one above, it's rainin', I'm covered in mud
I think I'm dyin', I feel dizzy, I'm losin' blood
I see my childhood, I'm back in the arms of my mother
I see my whole life, I see Christ, I see bright lights
I see Israelites, Muslims and Christians at peace, no fights
Black, Whites, Asians, people of all types
I must've died, then I woke up, surprised I'm alive
I'm in a hospital bed, they rescued me, I survived
I escaped the war, came back
But ain't escape Agent Orange: two of my kids born handicapped
Spastic, quadriplegia, micro cephalic
Cerebral palsy, cortical blindness — name it, they had it
My son died, he ain't live
But I still try to think positive, ‘cause in life, God take, God give",https://genius.com/Jedi-mind-tricks-uncommon-valor-a-vietnam-story-lyrics
I Against I,Violent by Design,2000.0,"In my historical oracle, I blast metaphorical
Editorials educatin' in my territorial
Get torn, heavily armed with seventy bombs
That'll blast divine like the heavenly psalm
Your men'll be gone if they explore my deepest thought
I beat hearts in two, then ask demons for chalk
I'm dreamin' to stalk emcees in the dark
I walk blindfolded, the mind's golden, watch how you talk
My style is a art, recognize lyrical purity
All hell breaks loose like a mall with no security
The dopest vocalist, with my third eye I focus with
I proceed, flow with the speed of a Indie motorist
There's more to this than wasted shiny chains and bracelets
I hit tracks, my tongue waits for the brains to blaze it
Amazin' angelic, tell it to your people
(""Your mic and my mic, come on, yo, no equal"")

Illadelph is like the Sun, 'cause we shine with rhymes
The underground is like the Moon: you only see us at times
And at times with light skies when the stars recline
Jedi Mind, Outerspace, coincide and combine

Raw poems, bury your body in catacombs
Rip your soul from your limbs like brims from Jim Jones
In the Twilight Zone we disperse cowards
Vampires that stalk earth on reverse hours
Night calls, we target your facade
My latitude is God, darts out my jaws leave eternal scars
You're left breathin' out of tube straws by the marksmen
Harnessin' science for demolishin' the charlatan
Raps will make you parallax
My domain has power to block synapse inside veins
War shots fired off by the army type warlocks
Devil's plan is to have you drip in the Clorox
Beast deceivin' us, ways devious
Possessin' my peeps to walk streets
With stolen heat, like Prometheus
Elements rushin' you back to hell again
Illadelphians crush your skeleton to fuckin' gelatin

Illadelph is like the Sun, 'cause we shine with rhymes
The underground is like the Moon: you only see us at times
And at times with light skies when the stars recline
Jedi Mind, Outerspace, coincide and combine

Don't ever come to me with war
I've severed scores of orators
Rappers fall onto all fours like minotaurs
With Jedi Mind and the Planetary be bombin' this
We stand one step above you like a pharmacist
With Ominous, detonate the bomb
Heads dread hallucinogenics since Vietnam
I spit a psalm, create bombs like an Iraqi
Swear on the Bible and then lie to Ecclesiastes
(Assault and battery)
Battle me, that'll be what splits you
Store enormous amounts of energy in a crystal
We boa constrict you, the gods are militant
You faggots couldn't go the length like you was impotent
You ignorant, your whole clique is split in half
You step in Allah path, and face Allah wrath, what!

Illadelph is like the Sun, 'cause we shine with rhymes
The underground is like the Moon: you only see us at times
And at times with light skies when the stars recline
Jedi Mind, Outerspace, coincide and combine",https://genius.com/Jedi-mind-tricks-i-against-i-lyrics
Fraudulent Cloth,The Thief and the Fallen,2015.0,"Our friendship seemed to be based on what I could do for you, homie
The sad fact is I'm the type of person that would take two for you, homie
You ever give so much till a muhfucker can't give no more?
Give so much of his soul that he feel he can't live no more?
What you want from me? You want blood from me, want another dub from me, money?
You wanna drain me of every single motherfucking drop of love from me, money?
I can feel the eyes staring at me even when it's dark, even when it's cold
I can feel Allah staring at me even though I'm marked, even though I'm old
Y'all are just some ""gimme"" muhfuckers, ""take more off Vinnie"" muhfuckers
Never giving back, don't know how to act, just a bunch of shitty muhfuckers
Gradually night goes on, gradually life goes on
It's tearing me apart, never really thought that I'd have to right this wrong
I don't think I'm anti-love, I just think I'm anti-y'all
I just think I'm anti-every-muhfucker-tryna-plan-my-fall
I was never planning to be great,  something that began as a mistake
But me being me, mama always told me I should always share what's on the plate

And just waking up is enough of a struggle today
And most of these phonies that's close to me push me away
But there ain't no weeping I'm keeping this enemy deep in my veins
Cause I love the pain

And just waking up is enough of a struggle, I don't wanna deal with the darkness
Have a motherfucker laid up by himself tryna heal from the conflict
Ever have someone close to you tell you that you really can't when you can?
I wouldn't know nothing 'bout that bullshit and that's the stamp of a man
And the same one who blamed me, the same one who defamed me
Can't make his own cash, can't wipe his own ass like a baby
Everything is past or it's light, everything is passion and hate
Everything is everything and I don't think I need to keep a track of the date
Everybody take what I offer, everybody play like a pauper
The same ones with they hands out, be the same ones that hate when I prosper
Tryna be a gentleman of sorts, tryna be a better man, of course
Tryna set a living, understand that I'ma always be a veteran of loss
What's the physiology of love? What's the physiology of pain?
What's the physiology of every single person that will probably 
get to reign?
I don't like when liberty is wrong, I don't like when misery is gone
I can tell all y'all one thing: all y'all gone' miss me when I'm gone

And just waking up is enough of a struggle today
And most of these phonies that's close to me push me away
But there ain't no weeping I'm keeping this enemy deep in my veins
Cause I love the pain
And just waking up is enough of a struggle today
And most of these phonies that's close to me push me away
But there ain't no weeping I'm keeping this enemy deep in my veins
Cause I love the pain",https://genius.com/Jedi-mind-tricks-fraudulent-cloth-lyrics
Razorblade Salvation,"Servants in Heaven, Kings in Hell",2006.0,"I know all the times were hard
I know that you've been feeling down
If you only knew how I'm feeling for you
If I could take your pain
I wish that I could wash it all away
If you only knew how I'm feeling

Mommy, I'm sorry if my first letter made you cry
To be honest with you, I don't think that I want to die
Sometimes I feel like that I'm cancerous in other's lives
That's probably why I drink at night and sleep 'til four or five
It's kind of hard walking through life with my distorted eyes
When I was younger, I was stupid and I thought I'd thrive
I thought a lot about everything I said in the letter
And questioned whether or not if I was dead, you'd be better
You think my shorty would be happy if I never met her?
It's too late now, mommy, I could never forget her
Could never forget how she taught me to love
Cause my father and my grandmother is always above
It's glory above
, 
you know that daddy taught me to thug
And every time we was with nanny she'd bombard me with hugs
Damn, I miss her, mommy, and it's hard to believe
That I'm grown and I don't understand it, why did they leave?

It's better to die and sleep
Than never waking sleep
Than linger on and dare to live
When the soul's life is gone

You've been running around for so long
You've been hurting yourself too much
You keep messing around with darkness
You're the one who's losing
You've been running around for so long
You've been hurting yourself too much
You keep messing around with darkness
You're the one who's losing

Mommy, I think that I'mma try to stick around a while
I got a niece, and my nephews, they need me around a while
I think they need me cause they hitting that age
And they ain't trying to speak to Lenny cause they spitting they rage
Yeah, and mommy, speaking to Lenny, I think my brother need me
And we Italian, so you know my mother love to feed me
And it's the little things you do for me that make it worth it
Like when I play a joint that we did and you say it's perfect
And when Jake got knocked, you knew that I was hurt
You told me put all of my heart in the song, and it worked
I promised him that I'd be there when he got out the bing
You ain't raise me to be a liar, ma, that's not my thing
I told him that I'd hold him down the whole time that he gone
They kept him locked inside a cage, but that's cool, cause he's strong
So mommy, keep that first letter I wrote you on the low
I think I wanna stay alive and see if I can grow

You've been running around for so long
You've been hurting yourself too much
You keep messing around with darkness
You're the one who's losing
You've been running around for so long
You've been hurting yourself too much
You keep messing around with darkness
You're the one who's losing

""
You have power and money, but you are mortal
You know you cannot escape death
But immortality can be obtained
The legend is always the same
If others have succeeded in conquering death
Why must we accept it?
I know where the immortals live
And how to obtain their secret
We too must become wise men
The elements of chemistry are many, but finite
So are the techniques of enlightenment""

I know all the times were hard
I know that you've been feeling down
If you only knew how I'm feeling for you
If I could take your pain
I wish that I could wash it all away
If you only knew how I'm feeling",https://genius.com/Jedi-mind-tricks-razorblade-salvation-lyrics
I Who Have Nothing,"The Psycho-Social, Chemical, Biological and Electro-Magnetic Manipulation of Human Consciousness",1997.0,"I, I who have nothing

Intersections in real time
The unbroken circle and dimensions of the mind
The tie that binds
The eternal tie that defines
The vanity of my insanity
 
in due time
Will shine
Like the night seas under the moon
The haunted corners of familiar rooms
Yet I'm consumed
We're vanishing into thin air
The realization that this shit is my cross to bear
So where
Did I think I could run away
 
to see
The people that decided to leave without asking me
But we
Decide to wait for happier tomorrows
And find someone so they can be distractions from our sorrow
But my distractions the books of paper that I scrawl in
I'm eloquent as summer breeze and leaves that have just fallen
I've crawled in a corner hoping all of this will end
With the knowledge that love is just another word for revenge
I who have nothing but the comfort of my sins
I who have nothing but the comfort of my friends

I, I who have nothing
I, I who have no one
I, I who have nothing
I, I who have no one

As I decay, demons prey above me like a vulture
Ability to endure contradiction is a high sign of culture
Verbal sculptures,
 self defacing
It is not God or lunacy that I am facing
But the erasing of the purity and passion of my words
The herds of cattle babble on with talk of the absurd
But I preferred
To walk away from all the feuds
To find my life is more confusing than a rubic's cube
So I'm subdued
In all my words of verbal prods
To live alone one must be an animal or a God
But it's official
All of my pain is clear as crystal
The natural side of life has now been seeming artificial
But I can hit you
And rest assured that I'mma last words
I could give a fuck about ya secrets and ya past words
I can pass words and their ability to hurt you
Patience is a virtue and knowledge is of commercial
I who have nothing but the pain that I refer to
I who have nothing but the pain that I've refered to


Lost among the miracles, I stand alone
And I've grown into a being that's sitting on top a throne
I've known
For many years that I would turn to rust
I find a reason for another breath
Before my return to dust
I become one with science and mathematics and the rising of the sun
I'm numb
To all of those who blind and cannot see
The chastiser of the enemy
Perception requires duality
Inspect ya soul, the color of coal inside the body
I have hardly come across them who's holy
Send them to the cherubim
 to control thee
Burning of the sun and frigidness of the cold
The battlefield is new but the war is now old
You can never see the merest shadow of a halo
Above the head of evil djin who's deadly like tornado
The world has become an aquarium
Full of gaping fish with murderous smiles
I on the other hand stand on the outside looking in
Writing down murderous files
I who have nothing but the lack of variation
And I who have nothing but chains and suffocation

""There comes a time in every man's life when he's gotta handle shit up on his own""",https://genius.com/Jedi-mind-tricks-i-who-have-nothing-lyrics
Heavenly Divine,Violent by Design,2000,"""Everything that I could say would fade into insignificance compared with what my heart feels, and your hearts feel, at this moment.""

Yea, yo, yo ,yo ,yo
Jedi Mind
Heavenly Divine
Steadily shine
Ikon the fuckin' Hologram
Yo, yo, yo, yo

Another sacrificial lamb, that died at the hands of Hologram
Send him into the dungeon and bludgeon his fuckin' clan
Holy lamb, Who spit the live shit
The do or die, Illadelph, Jedi Mind shit
The hot shit, live raps crack your jaw
Like who's the avenger, and who's at the center of war?
I left a scar, so your crabs would overstand
Mental will dent you and send you to a holy land
Lawnmower man, sharp blades slash your vitals
Recitals will fight you and entice you to burn bibles
Homicidal, A Hologram burn churches
Murders by stickin' a crucifix through your cervix
Divine purpose, for the Remy that's in my thermos
Greatest evils stick you with needles that's hypodermic
You heard the verdict, I'm with Allah 'cause he chose me
Broke into the Vatican, strangled the Pope with his rosary
What, what, what, what, what, what, what, what, what...

Jedi Mind, Heavenly Divine
Steadily shine in '99 (what, what)
Jedi Mind, Heavenly Divine
Steadily shine in '99 (what, what)
Jedi Mind, Heavenly Divine
Steadily shine in '99 (what)
Jedi Mind, Heavenly Divine
Steadily shine in '99

MCs face terror wherever my sound's audible
Man from third world portals, battle mortals, and slaughter you
Seen inside the visions of beyond
The dwellings of the Om, Existing in Islamic pantheon
Flows drop degrees, all my clothes got the scent of trees
I lay back and blow sax like Kenny G
Power blast, wack on my path, devour fast
I leave you with the grain of sand in life's hourglass
Devise a spell, make demons rise out of hell
Grab you by your lapels and rob you of your outer shell
You feel the ill dire, messiah in hellfire
I launch writers, put your jaw in a gauze wire
Jedi swordsman, give rappers a foul fortune
With science to contortion your body into a coffin
Insane damage is done, you fuckin' with the army
We beat your skull into the shape of a wet bag of laundry
What, yeah, yeah

Jedi Mind, Heavenly Divine
Steadily shine in '99 (what, what)
Jedi Mind, Heavenly Divine
Steadily shine in '99 (what, what)
Jedi Mind, Heavenly Divine
Steadily shine in '99
Jedi Mind, Heavenly Divine
Steadily shine in '99

Yo, the gods are rhymin', they're dramatizin'
You feel the poetic blow of the titans
We like a fuckin' bolt of lightnin'
The three wise men, we at levels that defies men
Watch out for fake heads deviled disguised men
Arriving from the dawn and spawned with ill forms
That'll leave you laying dead in the womb like stillborns
The mass'll here it, the ominous, the master spirit
Can't understand the language of rappers with bad lyrics
Ikon the python, rappers are left strangled
I overlook the Earth 'cause I see it from sun's angle
Above the clouds, we sit high and we dazed
Write a page, on how you enslaved to worldly ways
Islamic marksmen, seein' the squadron
Could be a fatal mistake
Like the first sins of Adam in the Garden
You feel sorrow, I'm projected as god Apollo
Explore rhymes, you're left too confused to follow
Invite your town to absorb the sniper rounds
Illadelph, Shambhala, nigga
Stayin' underground, What!
Motherfuckers

Jedi Mind, Heavenly Divine
Steadily shine in '99 (yo, yo)
Jedi Mind, Heavenly Divine
Steadily shine in '99 (what, what, what, what)
Jedi Mind, Heavenly Divine
Steadily shine in '99 (what!)
Jedi Mind, Heavenly Divine
Steadily shine in '99",https://genius.com/Jedi-mind-tricks-heavenly-divine-lyrics
Heavy Metal Kings,"Servants in Heaven, Kings in Hell",2006.0,"I murder you and laugh
I'm Barry Sanders slashing through the path
You a magician's assistant, I'm sawing you in half
You a heathen that rely on the beast
I'm a demon at the fire crucifying the priest
I shine over beats, a motherfucking beast on the mic
I'm a lion out the jungle, raw meat what I like
I bleed in a fight, Vinnie like the taste of his blood
And I'll open up your stomach like the case of a slug
I'm faithful to drugs,
 
putting metal plates in your mug
Dump your body in the motherfucking lake in a rug
Face in the mud, y'all create the facade
That my people have exterminated faith in they god
Patience is hard, cousin, but it pays to be calm
Go to war for anybody who embraces Islam
I'm gracious and warm, ready for the place in the war
And I'm ready to smash your motherfucking face in the floor

We got that gangster gangster shit
""The heavy metal king hold big shit""
We got that murder murder shit
You talk that gangster gangster shit
We live that murder murder shit

Without order nothing exists, without chaos nothing evolves
Now get on your knees so I can stick this gun in your mouth
I'm a Slayer album personified
, 
Holocaust
, 
Columbine
Middle Passage
, 
Israel versus Palestine
It's the Cult Leader, drink the Kool-Aid
Roll with the doctors that produce AIDS
I open my mouth, I shoot flames
The freedom fighter that got the whole world terrified
ILL Bill, human manifestation of genocide
Stand amongst Grammy winning grimy nose candy sniffers
Blast the black metal at you
 
like Danny Lilker
It's impossible to escape my matrix of hate
I'll make a good girl a cum dumpster, Satan awaits
Set the razors to AKs
 and 
turn raisins to grapes
Turn blood into wine with an insatiable taste
Drink from the goblet of gore
, vomiting porn
Sodom and Gomorrah
 back to 
Canarsie, New York

Is this the bringing of the king to his parliament
Till the land was all undone and darkened by such deeds

We got that gangster gangster shit
""The heavy metal king hold big shit""
We got that murder murder shit
You talk that gangster gangster shit
We live that murder murder shit

You don't know about the gospel of Judas
About the information found in the Galapagos Ruins
How the warriors would sharpen they blades
How if they wanted to the government could cure you of AIDS
We the equivalent of fire and ice
The equivalent of a prisoner who die for his rights
I'm lying to Christ, put your fucking spine in a vice
I'm like Trump in the Apprentice, only fire at night
I'm dying to fight, 
slap you five and put ten in you
Louie Dogs, the fucking Genocide General
So I say fuck the CIA and they plan
Get me outta here I'd rather fucking stay in Iran
I'll run up on you with grenades in my hand
If you fuck around with Bill or try to hate on my fam
It's the dichotomy of hatred in man
If you ever even think of trying to play me then BLAM!

We got that gangster gangster shit
""The heavy metal king hold big shit""
We got that murder murder shit
You talk that gangster gangster shit
We live that murder murder shit",https://genius.com/Jedi-mind-tricks-heavy-metal-kings-lyrics
Blood In Blood Out,Visions of Gandhi,2003.0,"If one does what God does enough times, one will become as God is
You put it together, you get being wanted and desired enough times
He believes he will become one who is wanted and desired and accepted
Because God has power
And if one does what God does enough times, one will become as God is

Yeah.. Jedi Mind, baby..
Yeah..
Yeah, we bringin' you the hardcore, the real raw type shit
You ain't never seen nothin' before like this
It's all real, all ill, and all natural
We all kill, all steal and blast at you
I like blood, I like tastin' ya flesh
I like slugs,  I like David Koresh
I like anything that's related to death
I like any king that can reign with his fist
Now back to the topic at hand
Steadily Shine, Shine Steadily with my fam
I'm the one who put the nail in the cross
I'm the one who told the world about an alien corpse
I'm the one who brought the truth to the light
If you listenin' to me you couldn't lose in a fight
Abusing the mic, with the force of five lions
Anybody fuckin' with Paz can die tryin'

{*
Mixed sound clips
*}
""Haven't you ever heard of a MC-murderer?""
""It doesn't matter what you say, or what you do""
""Lawnmower man sharp blades slash your vitals""
""While the Technics spin""
""Turn your body into anti-matter""

I'm a caged lion, always dying to hurt you
Always a believer that my rhyming a virtue
You just a heathen, and you lie like the church do
I can't believe that Allah hasn't cursed you
You too commercial, you still a disgrace
You like to sit around with women watching Will & Grace
I can't over-stand your sweetness
You should try hire a therapist to beat this
I'm being facetious, you should heed this
I'm the one who hammered the first nail in Jesus
I'm the definition of Toxic
Anyone who ever got close to me got sick

{*Mixed sound clips*}

We like heavy metal, listening to Sepultura
Remain calm, study Islam and read Torahs
You can't fallow the path so man chill
You can't study the math, you can't build
You can't over-stand what I believe
You drown in an ocean of God and can't breathe
It's like I've been involved with beef
Since the days I lost my teeth with the God and Reef
I learned how to worship Allah
I learn how to rhyme, and I teach it to y'all
I'm speakin to y'all, it's hardcore, real rap
Real slugs, real clips and real gats
You real wack, and that's how I feel
And that's the reason that I got a reason to kill
Yeah.. follow me, daddy
Jedi Mind, what's the fuckin' deal?
Walk with me, yeah, yeah

{*Mixed sound clips*}
{*Different sound clips*}
""While the Technics spin""
""Survive, Ikon been live since '85""
""While the Technics spin, the wax is on the felt""
""While the Technics spin""
""Little motherfucker got hands that's like steel""
""While the Technics spin, the wax is on the felt""
""While the Technics spin""
""Recitals will fight you and entice you to burn bibles""",https://genius.com/Jedi-mind-tricks-blood-in-blood-out-lyrics
Blood Runs Cold,Violent by Design,2004.0,"Yeah; Sean P, nah mean?
Megatron, Jedi Mind Tricks, M.F.C
Yo, Boot Camp, listen. Yo

Yeah first of all don't make me burst and brawl
Image is nothing you fronting see the thirst in y'all
Think it's fucked up now, it get worst for y'all
Assassinate your best friend now a hearse you call
Run up on your block with dough and I curse you all
The fuck out, want to wet duke? Squirt your four
Since birth I been raw hot like surface core
Kidnap your baby's mom straight earth the whore
See I do rhyme and crime so I can purchase more
If you ain't in it for that what the purpose for
Act like you don't give a fuck though
Good so I buck fo' shots from the roof
And my man Rock catch you up close
Never give a fuck about niggas y’all not Nutso
Hype off of carbonated water and some fructose
Straight buck foes when the nigga Ruck pull the snub nose
Wait Ruck chill, what the deal it's all love though
Look into my eyes and you can tell there's something changed
Running gunning things 
knocking niggas out like Clubber Lang
The gun I bring is straight for fucking beating you down
Heating you down leaving you six feet deep in the ground

It's some real motherfuckers gon rock tonight
All your jewels and your cash getting got tonight
Or somebody in the club getting shot tonight
Sean Price, Jedi Mind keep it hot tonight

I'm the motherfucking ungrateful
My heart is hateful, my tongue ripped
Licking on the blade that slayed you
You faggots act as bitch as RuPaul
You niggas share one milkshake with two straws
You're trapped with no doors, four walls tighten
Seeing the roof fall, feeling the floors heighten
Crushed in shit, your bones and blood siphoned
And put into a jug we sip before fighting
I'm raw lightning; my power extends
In the planet and out through the opposite ends
Black man travel through the universe and back
While cavemen still though that the earth was flat
But we kept the sacred plans, now we carry
Throughout the ancient lands
Before the separating of the sands
When God saw the power I create in my hand
He banned my gene strain from replicating in man
 (x2)
It's some real motherfuckers going rot tonight
All your jewels and your cash getting got tonight
Or somebody in the club getting shot tonight
Sean Price, Jedi Mind keep it hot tonight

I'm tasteless; there's beauty in strange places
I find beauty in razors
I find beauty in blood dripping from ya faces
I find beauty in the Qur'an and all of its Aramaic equations
I find beauty in twelve gauges
I find beauty in teaching you what the definition of pain is
I find beauty in stainless
Steel that can kill and reveal the front of your grill
You're brainless
Y’all don't wanna test Vinnie Paz patience
I crack jaws and swing swords of the ancients
Y’all pretended to overstand the matrix
Without attempting to overstand its basics
We dedicated to cats that's been thugging
Vinnie Paz got more hoes then Jim Duggan
Y’all been ducking for quite some time now
Vinnie 'bout to teach you how to write some rhymes now
We aim beams in between your eyebrows
Jedi Mind, Sean P combine now

It's some real motherfuckers goin rot tonight
All your jewels and your cash gettin got tonight
Or somebody in the club gettin shot tonight
Sean Price, Jedi Mind keep it hot tonight
 (x2)
""I rap like no one out there can fuck wit me"" - Prodigy",https://genius.com/Jedi-mind-tricks-blood-runs-cold-lyrics
