title,album,year,lyrics,urls
Best Friend,Slime Season,2015.0,"Ricky Racks, I see you!
Thugger!
YSL for life, bitch
Yeah fuck you, your momma and everything else
Yung Shad, you killed this track
Free the GOAT!

That's my best friend, that's my best friend, flexin'
Big ol' booty bitch missus from Texas, what's next is
I'm gon' skeet off, lil' nigga come catch me, catch me
And that's my bestie, my bestie, my best friend, go best friend
Nigga livin' TTG and everything is still on fleek
Bad bitch rollin' wit' me, she gon' smile 'cause she on fleek
Hundred thousand dollars inside my pants, my shit on fleek
Hey-yeah! Yeah

Take them boys to school, swagonometry
Bitch I'm bleedin' bad, like a bumble bee
Hold up! Hold it, hold it, nigga proceed
I'ma eat that booty just like groceries
Eat on that coochie, lay that bitch down like ""let's do it""
No Tiger, bitch, eat that wood, eat that wood
Supplier, bitch, I got pistols, no wood
I want them tacos that are Meagan Good
Helicopter choppin' with the buzz
Stuff them racks inside them if they nudge
Bang that other side, nigga curb
And my reefer louder than a speaker
Yeah my niece is hangin' with The Beatles
If you ever find her, better keep her
37 cameras for the sneakers
Goin' out like Ox or Beanie Sigel
Send a cop, I can't wait to mistreat 'em
Forcin' your ho, I can't wait to mislead 'em
And beat 'em, they ain't my people

That's my best friend, that's my best friend, flexin'
Big ol' booty bitch missus from Texas, what's next is
I'm gon' skeet off, lil' nigga come catch me, catch me
And that's my bestie, my bestie, my best friend, go best friend
Nigga livin' TTG and everything is still on fleek
Bad bitch rollin' wit' me, she gon' smile 'cause she on fleek
Hundred thousand dollars inside my pants, my shit on fleek
Hey-yeah! Yeah!

Let me tell you how I spent a couple hundreds today
I done cut back on that lean, I'm on that Hen' and D'ussé
Don't do no talkin', when you see him, you better shoot in his face
I got a hundred bitches that can't wait to replace
Michael Jackson, nigga, Thugger Jackson moon walkin'
The S.L.I.M.E. army tool shoppin'
Me a horny goat, I'm boolin' at the bull stop
No I can't get arrested 'cause I'm talkin' 'bout my necklace
I'ma put that bitch in the buck, I'm a dog, let's get stuck
My lil' sister Dora, eat them Lucky Charms and give me luck
Waddup cuz? Here yo cup, call my Bloods, bring my bup
Your crew suck, don't got bucks, these ain't drugs, nigga

That's my best friend, that's my best friend, flexin'
Big ol' booty bitch missus from Texas, what's next is
I'm gon' skeet off, lil' nigga come catch me, catch me
And that's my bestie, my bestie, my best friend, go best friend
Nigga livin' TTG and everything is still on fleek
Bad bitch rollin' wit' me, she gon' smile 'cause she on fleek
Hundred thousand dollars inside my pants, my shit on fleek
Hey-yeah!",https://genius.com/Young-thug-best-friend-lyrics
The London,So Much Fun,2019.0,"Yeah, yeah, yeah
Oh, oh, woah
Woah, woah
Oh
(You good, T-Minus?)
Oh

Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew

Yeah, circumnavigate the globe as the cash grows (Grow)
Get a nigga whacked like you get the grass mowed (Mowed)
I'm talkin' slick when I'm with the Big Slime, nigga (Slime)
Could hit your bitch, you could never hit mine, nigga (Mine)
In my DM, they electric slide, nigga (Huh, slide)
No catfishin', this is not a fish fry, nigga
Never switch sides on my dog
Catch a contact, hitch a ride, go to Mars
Everybody sing
How could you come up out your face
And say I ain't the hardest nigga you done ever heard?
I left a flock of rappers dead and buried
A verse from me is like eleven birds
Just did the math, that's like two thousand dollars every word
I'm on the verge, I'll beat the charge
I killed some niggas and I walked away from it
Then I observe, just how you curve
Then told the nigga that they gotta wait for it
""I know—I know you in high demand""
I'm ballin' on a pussy nigga like Juwanna Mann
I'm drownin' all inside the pussy like I never swam
Ayy, fuck your IG, I put somethin' on your sonogram
I'm the man, ayy, ayy

Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew

Pimp talk, church talk, I can make a brick walk (Woo)
Up north, down south, Bankhead to Rachel Walk (Ayy)
Hit it with a little water, stretch it like a vocal cord
STD, I run my ward, fuck a fed and his daughter (Let's go)
I'ma run the compound (Yeah)
I supply the cigarettes and bread (Woo)
I got a main and she gon' ride (Uh-huh)
She took a quarter and she fled (Uh)
I'm in the Lamb', so she gon' ride (Yeah)
I see the pain in shawty's light brown eyes (Ooh)
I'm at The London with some big thots
No fries, she eat steaks with the fish sides
Didn't your mama tell you when something on fire, stop, drop and roll? (Aw yeah)
I've been on the road like a pair of spinners at Stop-N-Go's (Yeah)
I could charge 'em like a Dodge Hemi Demon
Got your broad in the garage eatin' semen
Every time a nigga go back to the ward
Niggas act like they want start
And we leave them on the cement (Grra, grra)

Me-meet me at The London
If you find time, we can run one
Talk about some things we can't undo
You just send the pin, I can find you
6'1"", on the money, 9'2""
You just say the word and I'll run through
Two texts, no reply, that's when I knew
I knew, I knew, yeah, I knew

I, crash down, we get money (Hey)
For the full town (Woah, when you won't play, I)
I decided, for the full side (Hoes will say)
And they know, I might (And fly, I...)
Get down, might (Don't play)
See the whole town every time, I... (Oh, every day)
Yeah, they know what's up (Folks will say)",https://genius.com/Young-thug-the-london-lyrics
Check,Barter 6,2015.0,"I can see that bullshit from a mile away (See it)
You can stack my money 'bout a mile away (Stack it)
I got three white bitches like it's powder day (White)
Mink coat with the rolls like a Shar Pei
And all of my bitches sexy, call them Barbies (Sexy)
She lookin' back like I'm flexin', baby, no way (Uh-uh)
And lately, I been on that D'usse, yee
(We got London on the track)

Got me a check, I got a check
Yeah, I done got me a check, I got a check (Sheesh, sheesh)
Yeah, I done got me a check, I got a check (Sheesh)
Yeah, I done got me a check, oh, got a check (Yeah, yeah-yeah!)

Money on my mind, I got money on my brain
Money in my pants, I got money I call change
20, 50, 100, 500 millions made
Big hunna Thugga, screamin' free that Gucci Mane

If I need some racks, I'ma flip me some packs
I talk like I want and she don't say nothin' back
If cops pull up, I put that crack in my crack
Or I put that brack in my brack
Call little shawty, made her fuck on my brodie
If you don't owe me, bitch, still act like you owe me
I promise I won't ever quit, bitch, I'm Kobe
And I whip that white, you can snow me
Stoner Young Thugger
I whip it, that bitch, yeah, she know me, Young Thugger
Yeah, she shinin' like butter
The bitch from Chicago, I call her young Cutler
Leave it to Beaver
I pull up in Bentleys with London, they all want to meet him
Yeah, they all wanna greet him
They pull down they pants and they all wanna eat him, uh
No, they won't tease on that dick, they won't read on that dick
They won't leash on that dick, don't Felicia that dick
Mamacita that dick, they gon' snitch on that dick
And she screamin' loud, she can't secret that dick
Mama a beast on that dick
If she bad, I'ma gon' an' Four Season that bitch
Eat that, lil' bitch, I'ma feast that lil' bitch, mm

I got me a check, I got a check
Yeah, I done got me a check, I got a check (Sheesh, sheesh)
Yeah, I done got me a check, I got a check (Sheesh)
Yeah, I done got me a check, oh, got a check (Yeah, yeah-yeah!)

Money on my mind, I got money on my brain
Yeah, I'm like, baby, baby, baby, I need racks
Money in my pants, I got money I call change
Baby, baby, baby, baby, baby, I need racks
20, 50, 100, 500 millions made
Baby, baby, baby, baby, baby, I want racks
Big hunna Thugga, screamin' free that Gucci Mane
Baby, baby, baby, baby, baby, I need racks, hey!

Bitch, I'm a Migo, I play with kilo
When I put ice on, I am Sub-Zero
All of my niggas, they hard, call 'em beetles
Niggas was fake so I kept me a Ruger in Regals
Droppin' the top on the Bentley
I'm with the Birdman, yeah, the eagle
Geeked out my mind, man, I'm tripping out
I don't know none of these people
Make my little shawty go get me a four and bring back me a liter
Yes, I got threats, I'm not worried 'bout that
They know they can get whacked and I swear I done

Got me a check, I got a check
Yeah, I done got me a check, I got a check (Sheesh, sheesh)
Yeah, I done got me a check, I got a check (Sheesh)
Yeah, I done got me a check, oh, got a check (Yeah, yeah-yeah!)

Yeah, I'm like, baby, baby, baby, I need racks
Baby, baby, baby, baby, baby, I need racks
Baby, baby, baby, baby, baby, I want racks
Baby, baby, baby, baby, baby, I need racks, hey!

We got London on da Track!",https://genius.com/Young-thug-check-lyrics
Power,Slime Season,2015.0,"We got London on da Track

First, you get that money then you get that power
If he tune his nose up, boy he on that powder
Now you walk around with 50 in your trousers
Diamonds boolin' on my chest, no fuckin' blouser
Bitch, I make it rain shower, ya dig that?
They won't know a thing about you if you zip that
Hit 'em with that blocka-blocka, nigga get back
Feed that, beat that, never crack, dig that (Sheesh, sheesh)

Before I go without a sack, I swag pack (Sheesh, sheesh)
I spoiled my bitch and now she actin' like a brat (Yeah, yeah)
I met Alex, I know Jimmy, he got racks (Skrrt, skrrt)
Yeah, yeah, bitch I'm bleedin' like a tat (Yeah, yeah)
Roll it, roll it for me on ya back (Roll it, roll it)
Just for show my diamonds yellow like a taxi (Woo, woo)
I'm a cat, I'ma chase all them pussy rats (Argh)
Yah (Argh, argh), pussy nigga better not look back
Or, or else I'm killin' 'em, hey, and that's a fact (Sheesh)
There's blood all on my Timberlands
She make a nigga say, ""What?"" (What?)
I swear to God she feelin' 'em
She sucked like eight dicks, I call her octagon (Hey)

First, you get that money then you get that power
If he tune his nose up, boy he on that powder
Now you walk around with 50 in your trousers
Diamonds boolin' on my chest, no fuckin' blouser
Bitch, I make it rain shower, ya dig that?
They won't know a thing about you if you zip that
Hit 'em with that blocka-blocka, nigga get back
Feed that, beat that, never crack, dig that (Sheesh, sheesh)

Bitch, I dig it, I eat ice cream with my chickens
Bitch, I'm rich just like a Simmons, not Lil Diggy
If I got legs, bitch you know I'm gonna get it
She got good head, so she welcome to my Bentley
Big bid-ness in that big Bentley, Bentley (What? What?)
Ridin' 'round with that semi, 'cause I know these niggas envy (Hah)
Is you mad 'bout Instagram or how I kick my pimpin'? (Pimp)
You keep that Ace of Spades, I'm sippin'
I'm a rocket, rocket, I can't stop it, stop it
I'm a GTV, boy, bitch I'm poppin', poppin'
I need coke, need coke like, ""Where the fuck is papi?""
If you try to run off (What?), you know we popped your noggin
(Pop-pop)

First, you get that money then you get that power
If he tune his nose up, boy he on that powder
Now you walk around with 50 in your trousers
Diamonds boolin' on my chest, no fuckin' blouser
Bitch, I make it rain shower, ya dig that?
They won't know a thing about you if you zip that
Hit 'em with that blocka-blocka, nigga get back
Feed that, beat that, never crack, dig that (Sheesh, sheesh)",https://genius.com/Young-thug-power-lyrics
With That,Barter 6,2015.0,"Yeah
I'm so through with that
I'm so through with that
(We got London on da Track)

Hundred bands, hundred bands
Dropped on the head of any nigga want it, man (Woo)
Pop me a Xanny, I'm fast
I'm so fast, I'm so faster than Sonic, man (Woo)
True the man, true the man, true to my nigga
True Religion Buddha man (Woo)
My money stack tall as Ludacris' afro
And I swear I'ma shoot with that (Woo)
I just hit for nine birds, what I'ma do with that?
Pull up on the curb, then you hop out and be through with that (Ooh)
I'm so fresh like dish detergent
If you not fresh, you so through with that (So fresh)
If you are a nerd, everything here, you not cool with that

Yes, you not cool
No, you not bool (What?)
I don't give no damn, I'm not calling you boo (Uh-uh)
My bitch, she a jewel (Whoa)
You can't prove a point, boy, you know you so doomed (You dig?)
You know you so doomed (Yeah)
I swear I'm so lost with no clue, don't know what to do (What?)
Over loud, over loud (Yeah)
I over loud on these niggas
Ain't know how to milk these cows
She made that dick grow, now it's big like a tower
Yow, front pockets filled up with bands, no Bible

Hundred bands, hundred bands
Dropped on the head of any nigga want it, man (Woo)
Pop me a Xanny, I'm fast
I'm so fast, I'm so faster than Sonic, man (Woo, woo)
True the man, true the man, true to my nigga
True Religion Buddha man (True it, woo)
My money stack tall as Ludacris' afro
And I swear I'ma shoot with that (Sheesh, sheesh)
I just hit for nine birds, what I'ma do with that? (Sheesh, sheesh)
Pull up on the curb, then you hop out and be through with that (Skrrt)
I'm so fresh like dish detergent
If you not fresh, you so through with that (Clean)
If you are a nerd, everything here, you not cool with that (Hey, dork)

Pull up, hop out the block
They tuck in they tail, I go, ""Who the clan?"" (Cacaw, cacaw)
We dressed in all-black, I'm always on the road just like a Uber man (I'm textin')
We wrappin' and sendin' them packs
Soon as they land, we movin' 'em (Wrapped, shipped)
Blame it on the OGs, they influenced me (I'm ridin' with felons)
Ain't gonna count money, nigga (Uh-uh, nah)
I ain't just met money, nigga (Ain't just met money, nigga)
I put lipstick on the 'Rari, she say that's delicious (Skrr-skrr-skrr-skrr)
Who that is in that Crown Vic? He look suspicious (Oh, him, shh)
I just jugged a hundred pounds, I made a—

Hundred bands, hundred bands
Dropped on the head of any nigga want it, man (Woo, woo)
Pop me a Xanny, I'm fast
I'm so fast, I'm so faster than Sonic, man (Woo, woo)
True the man, true the man, true to my nigga
True Religion Buddha man (Sheesh, woo)
My money stack tall as Ludacris' afro
And I swear I'ma shoot with that (Yeah, sheesh, sheesh)
I just hit for nine birds, what I'ma do with that? (Hey)
Pull up on the curb, then you hop out and be through with that (Skrrt-skrrt)
I'm so fresh like dish detergent
If you not fresh, you so through with that (Fresh)
If you are a nerd, everything here, you not cool with that

Yeah, you not cool with that
No, you not cool with that
No, you not cool with that
Yeah",https://genius.com/Young-thug-with-that-lyrics
Chanel (Go Get It),Slime Language,2018.0,"Anything she want she can get, oh, give her (Get her)
Oh, anything she want she can get (She want, she can get it)
Wheezy outta here

She want Chanel, go get it
She want Chanel, go get it
She want this Fendi, go get it
She want a Birkin, go get it
She want this Gucci, she can get it
She want this Louis, go get it
Loubs with the spikes, she get it
Everything I got, she gettin' it, yeah
Bentley sedan, she get it
Hop out the Benz, she gettin' it
Hop out the Lamb, she gettin' it
The Porsche Cayenne, she gettin' it
Hop out the coupe, she get it
Ashanti the shoes, she get it
I put my kids on her titty
Anything she want she can get it

Anything you see, you can get it (Get it)
Here go the keys to the Bentley
When I fuck her I got good intentions (Yeah)
I just can't get my palms to stop itchin'
Water on me like I live with the fishes (Fishes)
I done ordered every color in tennis
Got the diamonds put in by my dentist (My dentist)
I'ma shine when I'm skinnin' and grinnin' (Shine)
Ice my watch, I'm not wastin' my time (My time)
Gunna drippin' with Uzi and Slime (Slime)
Connect with my bitch like a WiFi
Slidin' in the DM like a cha-cha
I got Ms, I can take care of the southside
I've been buildin' these billionaire ties (Ties)
Got the Yves Saint Laurent heels in your size
Get the penthouse and fill it with vibes (Vibes)
Got Marc Jacobs to cover my eyes
She need help, I'ma send her a dime
I can't pour nothin' less than two lines
Luxury all the back seats recline
She want me to put that dick in her spine
Take her shoppin' and keep her from cryin'
Give you stones you one of a kind
Got Chanel with the Cs on both sides

She want Chanel, go get it
She want Chanel, go get it
She want this Fendi, go get it
She want a Birkin, go get it
She want this Gucci, she can get it
She want this Louis, go get it
Loubs with the spikes, she get it
Everything I got, she gettin' it, yeah
Bentley sedan, she get it
Hop out the Benz, she gettin' it
Hop out the Lamb, she gettin' it
The Porsche Cayenne, she gettin' it
Hop out the coupe, she get it
Ashanti the shoes, she get it
I put my kids on her titty
Anything she want she can get it

She want Chanel, she can get it
Louis V bag and Dior her titty
They locked the door when we walk in Fendi
Save the hundreds, them dubs, we spendin'
Real dope boy, ain't chargin' no card
New G-Wagon, she already got
Real grown woman, she ain't post her body
Check price tags, you want it, you get it
You a big Thugger fan, you scared to admit it
Gettin' sixty for a show, I'm handlin' business
L.A. for a month, get away from the city
Sippin' this syrup, I'ma need a new kidney
Just tell me where it's at and I'ma go in and get it
'Ever I say, she on it
New Range Rover, she want it
We don't do loans, she own it
Runnin' out of space for the bags in her closet
Runnin' through checks every day, no fraud shit
Rose gold Presidential Rollie look polished
Bad lil' bitch, good brain, go to college
You ain't really gotta pay for nothin', I got it
Big bankroll, I ain't totin' no wallet
I don't withdraw, nickname deposit
T-Pain, Plies, I call her my shawty, my shawty

She want Chanel, go get it
She want Chanel, go get it
She want this Fendi, go get it
She want a Birkin, go get it
She want this Gucci, she can get it
She want this Louis, go get it
Loubs with the spikes, she get it
Everything I got, she gettin' it, yeah
Bentley sedan, she get it
Hop out the Benz, she gettin' it
Hop out the Lamb, she gettin' it
The Porsche Cayenne, she gettin' it
Hop out the coupe, she get it
Ashanti the shoes, she get it
I put my kids on her titty
Anything she want she can get it",https://genius.com/Young-thug-chanel-go-get-it-lyrics
Stoner,Hy!£UN35 (HiTunes),2014.0,"When you were worrying about pissing on your fuckin' self, I was a stoner
Bang gang
Dun Deal on the tra-tra-tra-track
Way back in 90-fucking'-4 when I was six or seven...
Ayy, ayy, this that stoner music, nigga
Stoner! (This my damn bit!)
Stoner (Let's get it)

I'm a stoner, I'm a stoner, I'm a stoner (I'm a stoner)
I'm a stoner, I'm a stoner, I'm a stoner (Stoner!)
I'm a stoner, I'm a stoner, I'm a stoner
I'm a motherfuckin' stoner

I just put a 40 on my wrist just like a boss
I just put 10,000 on my bitch just like a boss
I just drank with YSL just like a f****** boss
Just like a f****** boss, just like a boss, boss

Thugger Thugger, you
I want Michael Jackson land, ohh
Aww, I'ma cash out
 (On what?)
I'm high as hell ain't got no satellites on me (Moon)
I tell that bitch I feel like Fabo (What?)
I feel like Fabo, I feel like Fabo (Ha)
I feel like Fabo, I feel like Fabo (Like Fabo)
I feel like Fabo, I feel just like Fabo (Fabo)
I'm back at it (What?), Juug man voice (Yung Ralph, hahaha, hehe)
Bankhead
Hear my song way from Y-T-C-R-O-B-S-M-M, now we YSL venom, sis
Slime Thugger wit' it (Wit'), Slime DK wit it (Slatt)
Slime Wicced wit' it (Slatt), Slime Mondo wit it (Slime)
Slime Slugger with it (Slime), Slime Bubba wit it
Slime Check wit' it (Yeah)
Count hundreds and 50's off everyone's city

I'm a stoner, I'm a stoner, I'm a stoner (Stoner)
I'm a stoner, I'm a stoner, I'm a stoner (What?)
I'm a stoner, I'm a stoner, I'm a stoner (Ye)
I'm a motherfuckin' stoner

I just put a 40 on my wrist just like a boss
 (I feel like Fabo)
I just put 10,000 on my bitch just like a boss (I feel like Fabo)
I just drank with YSL just like a f****** boss
 (I feel like Fabo)
Just like a f****** boss, just like a boss, boss

Run that money up, like ya 'bout to start trial
When you beat the case, turn into a stoner child
We don't stand in line, foreign shoes hurt your feet
Everybody stoned, weed, lean, molly, E (Whoo)
Every time I walk inside the club I see everybody looking
You know I'm a stoner, I love drugs and I can't never be tooken
And you can suck my banana, but I won't eat your pudding
So come a lil' closer, my bitch won't know ya
Andalé andalé andalé, andalé andalé andalé
How the fuck a nigga think he gone survive on a YSL runway
(How fool?)
My glasses are metro no blood off your chest
I control ya ho like Net-and-flix
Your bitch is my dinner she wet like a fish
I took off her three legs, T-Rex

I'm a stoner, I'm a stoner, I'm a stoner
I'm a stoner, I'm a stoner, I'm a stoner
I'm a stoner, I'm a stoner, I'm a stoner
I'm a motherfuckin' stoner

I just put a 40 on my wrist just like a boss
I just put 10,000 on my bitch just like a boss
I just drank with YSL just like a f- boss
Just like a f- boss, just like a boss, boss

I feel like Fabo, I feel like Fabo
I feel like Fabo, I feel like Fabo
I feel like Fabo, I feel like Fabo
I feel just like",https://genius.com/Young-thug-stoner-lyrics
2 Bitches (Danny Glover),Lobby Runners (Hosted by Peewee Longway),2013.0,"Thugger Thugger
Thugger
Stoner Life, YSL

Okay, cool, okay, bool, I love her
I'ma save her, yes, like Danny Glover
I'ma call my papi for her, fuck the mother
I pass them a molly, now they kiss each-other (Hot)
Every time I fuck I gotta hit me least like two bitches
Boy, that dope been whipped, you need like new wrists
Foreign car outside, that bitch got two digits
Money stand like eight feet just like two midgets

Who the fuck told you that Young Thugger Thugger don't fuck up the beat?
I got six cars and I also got rentals and all of 'em tinted
No, I'm not Nipsey, not from L.A., but I got keys to the city
I fuck it, I suck it, I beat it down, then she beat me to the ceilin'
Stoner my lifestyle, I'm livin' too wild
I came to make you proud, that money keep her around
In love with her head, I can't turn it down
Can't wait for my time to come back around
She see that you don't got Lil Haiti's style
Plus I just seen Snoop on Girls Gone Wild
I just bought a Bentley and a bitch came with it
Young rich nigga hittin' million dollar licks
Balling in New York like a motherfucking Knick
You better have them racks, you ever want to hear me spit
And everywhere I go I gotta pass like the staff
I'm goin' off top like a motherfuckin' lay up
357, six shots like Al
I left ten bands in a motherfuckin' cab

Okay, cool, okay, bool, I love her
I'ma save her, yes, like Danny Glover
I'ma call my papi for her, fuck the mother
I pass them a molly, now they kiss each-other (Hot)
Every time I fuck I gotta hit me least like two bitches
Boy, that dope been whipped, you need like new wrists
Foreign car outside, that bitch got two digits
Money stand like eight feet just like two midgets

I knew I was gonna run my money up and everybody didn't
All these niggas pussy niggas, tellin' on they partner
Hope the pussy nigga get a bigger sentence
Pussy nigga play, I'm coming back with the K
And I'ma shoot that motherfucker 'til he livid
Bitches wanna see a nigga thumb through it fast
I'ma name myself Young Thug Attendant
Hundred bands at a time I fronted you bags, but you
I don't like using profanity, but the Young Thugger will gut you
All of my cups are muddy I fuck my bitches' buddies
I just want nut like Buddy, all of my bitches buddies
Panamera with the tinted roof
All the niggas dogs goin', ""Roof""
Top notch shawty, nigga ring came with karats
Young nigga rich, jewelry colder than the attic
If she ain't a virgin, then that bitch is only average
I can't even hear ya, baby, get rid of the static
I can't learn a bitch, but I learned mathematics
I just ball her down whenever she call my pattern

Okay, cool, okay, bool, I love her
I'ma save her, yes, like Danny Glover
I'ma call my papi for her, fuck the mother
I pass them a molly, now they kiss each-other (Hot)
Every time I fuck I gotta hit me least like two bitches
Boy, that dope been whipped, you need like new wrists
Foreign car outside, that bitch got two digits
Money stand like eight feet just like two midgets",https://genius.com/Young-thug-2-bitches-danny-glover-lyrics
Hot,So Much Fun,2019.0,"Wheezy outta here
Hot, hot, hot, hot
Hot, hot, hot, hot
Hot, hot, hot, hot
Hot, hot, hot, hot

Everything litty, I love when it's hot
Turned up the city, I broke off the notch
Got some more millis, I keep me a knot
I created history and made me a lot
He tried to diss me and ended on Fox
We call them chopsticks 'cause they gonna chop
Took her out of Follies 'cause her pussy pop
I run it like Nike, we got it on lock

Cartier eye
I'm the bossman in a suit but no tie
I can't be sober, I gotta stay high
Pour me some syrup in a Canada Dry
Ridin' in the spaceship like Bonnie and Clyde
Don't worry, baby, I keep me some fire
Shenenehs and Birkins, she cannot decide
The latest Mercedes her go-to surprise
Don't sleep on miss lady, her pussy a prize
Dick in her back while I'm grippin' her sides
Bigger Maybach, this ain't regular size
We really fly, we like pelican glide
Bitch, you ain't slick, I can tell the disguise
Upgraded my wrist, put baguettes in that Sky
She sing, I might sign her and change her whole life
I told her to gargle and work on her highs

Everything litty, I love when it's hot
Turned up the city, I broke off the notch
Got some more millis, I keep me a knot
I created history and made me a lot
He tried to diss me and ended on Fox
We call them chopsticks 'cause they gonna chop
Took her out of Follies 'cause her pussy pop
I run it like Nike, we got it on lock

Cash, money, checks, cash
Addy, Birkin, brand new extendos
I just wanna fuck the bitch by myself
I just passed her to the dawg like my Sprite

I took the Bentley coupe back, then I hopped in a Cayenne (Skrrt)
I put the bitch in the front of the Bentley, in front of the driver (Skrrt)
Ayy, man, this synthetic weed, you can't smoke in the Rolls Royce, woah, woah (Yeah, yeah)
I'm still double cupped up, I'm drinkin',
 I shoot off your tires, huh (Doo-doo-doo-doo-doo-doo-doo-doo)
I'm in the coupe by myself
I had to kick a door when I was 5
Keep the awards on the shelf
Whole sixteen round in the fire
I'm sick and tired of these young niggas act like they firin', they tellin' these lies
Actin' like they the ones created this and they get all the drip from my guys
Yeah, Cartier eyes
Cartier coat, Cartiers the watch
Cartier love, Cartier the thot
Cartier specs, buffalo on the side
Princess cut diamonds, they Cartier, yeah
Cartier bag for the Cartier thot
Sky Wrangler coupe with two hundred the dash
Cartier jeans, ain't no way I can sag
Ain't no way I'ma ever gon' go out bad
I can't go out, no way I'ma go out
I just grip on her ass and I show out
I sit like a champ and I wait on a hold-out
I just whip up a new Chanel Patek
I whip with the wrist and I don't break the door out
Turn the whole top floor to a whorehouse
Hundred racks in ones, dude brought the flood out

Hot, hot, hot, hot
Hot, hot, hot, hot
Hot, hot, hot, hot, damn
Hot, hot, hot",https://genius.com/Young-thug-hot-lyrics
Tell Em (Lies),Rich Gang: Tha Tour Pt. 1,2014.0,"Ooh, ayy
Ooh (Yeah), ayy
London On Da Track, bitch
(Ayy)
Ooh, ayy (Yeah)
Hahahaha
Ooh
London On Da Track, bitch

What you tell 'em, Thugger?

(Ooh) I'ma pull up, eat on that pussy and dip (And what?)
(Ayy) I'ma keep one inside the chamber like Wilt (Gah gah)
(Ooh) Baby girl spoiled and she spoileder than milk
(Ayy) And keep her on my side like a fuckin' hip (Hey)
She gon' make sure I survive, she gon' do it well
(Ooh) Baby I just want them thighs right under that belt
(Ayy) She just want me to keep them lies all to myself
(Ooh) Word, she gon' help me like she's Santa's elves (Woo!)

She gon' look over these bitches like terms and conditions (And what?)
I'ma move her out the trenches and buy her a Bentley (And what?)
I'ma fuck her then hold on to her like she gon' miss me (And what?)
I'ma pull on that wavy hair 'cause it's Indian Remy (Swoo)
I grab the key, she wanna ride with me (Skrrt)
She tied the knot so she can die with me (And what?)
She say she can do the same thing as 5 bitches (So what you do?)
So I went and fired them 5 bitches (Damn)
She the B-E-S-T, best (She the best, she the best)
She ride me, 200 on that pussy like a T-Rex (Better than the rest)
I won't stop lovin' her, no way (Ayy)
No way, I'ma invest (Swear for God, I'ma invest)
In her

What you tell 'em, Thugger?

(Ooh) I'ma pull up, eat on that pussy and dip (And what?)
(Ayy) I'ma keep one inside the chamber like Wilt (Gah gah)
(Ooh) Baby girl spoiled and she spoileder than milk
(Ayy) And keep her on my side like a fuckin' hip (Hey)
She gon' make sure I survive, she gon' do it well
(Ooh) Baby I just want them thighs right under that belt
(Ayy) She just want me to keep them lies all to myself
(Ooh) Word, she gon' help me like she's Santa's elves (Woo)

I had to hit her from the back then dip up out it (Hey)
I don't know what it is but it's somethin' about her (Ooh)
When she around she do somethin' to me, I can't doubt it (Ayy)
I don't know what it is, but it's some' 'bout her
Shawty got me fucked up, blowin' O's, no Audi (Skrrt)
Her ex nigga, he fucked up and I don't give no fuck about him (Nah)
But I'll do whatever when it come down to shawty (Yeah)
The feds askin' questions, I don't know shit about it
Somethin' 'bout lil' shawty that I can't put my finger on (Ayy)
It's somethin' 'bout lil' shawty, she rather text, she don't be on phones (Nope)
It's somethin' 'bout lil' shawty, say it, that got Rich Homie gone (Hahaha)
Shawty the best in my eyes and I know (I do)
She don't do fashion and she don't even go outdoors (Nuh-uh)
Before she was ready you already knew I know (I swear)
Shawty made me sick, I'm feelin' like I got a cold
Can't forget about my bro

What you tell 'em, Thugger?

(Ooh) I'ma pull up, eat on that pussy and dip (And what?)
(Ayy) I'ma keep one inside the chamber like Wilt (Gah gah)
(Ooh) Baby girl spoiled and she spoileder than milk
(Ayy) And keep her on my side like a fuckin' hip (Hey)
She gon' make sure I survive, she gon' do it well
(Ooh) Baby I just want them thighs right under that belt
(Ayy) She just want me to keep them lies all to myself
(Ooh) Word, she gon' help me like she's Santa's elves (Woo)

Ayy, ayy
It's somethin' about her, Thug, it's somethin' 'bout her (What it be?)
She got my life, I don't want no one to rob her (Don't take it)
Not Young Scooter but all she know is count up (She counting)
Ayy, I'm on her front end like a fuckin' blouse (Big B)
I'm on her head like a fuckin' bounty (Yeah)
No hunter (And what?)
But I'ma eat her like I'm hungry at Benihanas (Woo)

(Ooh) I'ma pull up, eat on that pussy and dip
(Ayy) I'ma keep one inside the chamber like Wilt
(Ooh) Baby girl spoiled and she spoileder than milk
(Ayy) And keep her on my side like a fuckin' hip
She gon' make sure I survive, she gon' do it well
(Ooh) Baby I just want them thighs right under that belt
(Ayy) She just want me to keep them lies all to myself
(Ooh) Word, she gon' help me like she's Santa's elves",https://genius.com/Young-thug-tell-em-lies-lyrics
