title,album,year,lyrics,urls
1Night,Summer Songs EP,2015.0,"I know you want this for life
Taking pictures with all my ice
But I can't have no wife
I just want you for the night
I know you want this for life
Taking pictures with all my ice
But I can't have no wife
I just want you for the night (just for the night)

I know you want this for life
Fuck you so good you be calling out the Christ (oh my God)
Bottles of the Tech got it laid on ice
We spent four seasons at the Four Seasons twice
You be calling all your homegirls like ""I'm his wife""
Hell nah, you trippin', reevaluate your life
I can't love no bitch, every single hoe is trife
I sip dirty Sprite just to get me through the night
But I need you there (I need you there)
Promise that I need you there
Ain't no other bitch gon' fuck me like you do, I swear
Put that on my gang I swear
I just can't put you on front street like you want I know
But baby you is not no hoe
And I put it on my gang I'm not no average joe (average joe)
It's Yachty from the block you know

I know you want this for life
Taking pictures with all my ice
But I can't have no wife
I just want you for the night
I know you want this for life
Taking pictures with all my ice
But I can't have no wife
I just want you for the night",https://genius.com/Lil-yachty-1night-lyrics
Peek a Boo,Teenage Emotions,2017.0,"Ricky Racks
Peek-a-boo, woo!
Peek-a-boo

Uh, uh, play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that money like peek-a-boo, ooh
Play with these bitches like peek-a-boo, uh
Broke ass bitch ass nigga
I'm not finna play with you, that's what these rappers do
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo, nigga
Lil Boat
I'm not finna play with you, that's what these rappers do

Red dot, red dot, red dot, red dot, red dot
On his nose like Rudolph
Pull up to the scene, all white with the roof off
Take that lil' bitch to the Ruth's Chris
Fuck her, then fuck on her sister, I'm ruthless
Chill on the 6 when I'm fuckin' on pucchi
That bitch was ugly, but pussy on smoothie (wet)
Play with that kitty like hello
Take a step back then I bust it, I bust it, I bust it like Melo
Aimin' at you and your fellows
My new bitch yellow
She blow that dick like a cello
Fuck her then send that bitch home on the metro
Ooh, young nigga fly like a pigeon
Vercetti frames, they be hidin' my vision
Make sure all my niggas eat, that's the mission
No more wishin', I'ma go get it, go get it, I got it

Uh, uh, play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that money like peek-a-boo, ooh
Play with these bitches like peek-a-boo, uh
Broke ass bitch ass nigga
I'm not finna play with you, that's what these rappers do
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo, nigga
I'm not finna play with you, that's what these rappers do

Open your eyes, bitch you see all this money
Made that lil' bitch tape a brick to her stomach
You not the gang, we don't kick it or punt it
Just bought the Wraith and I wrapped it, titanic
Look at the numbers, mechanics ain't frontin'
I came from the lick, went to jail, I got punished, ooh
Pullin' up foreign, Freddy Kreuger, wow
My niggas turn barracuda
You cappin', I came from trappin'
I used to have the dope stashed in the cabinet (dope!)
Mama couldn't tell me shit, where was my daddy? (Mom)
Look at my Patek, I'm flexin', I'm petty (I'm petty)
I fucked the pussy the first time I met it
Won't give you no credit, you Eddie spaghetti
I cook the brick, cut the brick with machetes
Married the money, the bitch wasn't ready, uh, uh

Uh, uh, play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that money like peek-a-boo, ooh
Play with these bitches like peek-a-boo, uh
Broke ass bitch ass nigga
I'm not finna play with you, that's what these rappers do
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo
Peek-a-boo, peek-a-boo, bitch
Peek-a-boo, peek-a-boo, peek-a-boo, peek-a-boo, nigga
I'm not finna play with you, that's what these rappers do

New grey drop top Audi, 2013, yeah
White coco, butterfly wings, 2k17
Ice (ice), came out the machine (ice)
Came out the machine (ice baby)
Draco, Uzi, Tommy gun, SK (Tommy gun), all machines, brrrt
Yeah, hey, pull up on the side of 'em, skrrt
Let the clip ride on 'em
Ayy, fuck 12, open fire on 'em (fuck 12)
Open up fire on 'em (fuck 12)
Yeah, don't tuck in my chain (nah)
I'm with the gang (gang,) hit you with range
Scattering showers, here come the rain
Icy Hot sleeve, these niggas in pain, hey

Uh, uh, play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that pussy like peek-a-boo, uh
Play with that money like peek-a-boo, ooh
Play with these bitches like peek-a-boo, uh
Broke ass bitch ass nigga
I'm not finna play with you, that's what these rappers do

Left wrist white, it's the Patek (Philippe)
Bad white bitch with a fatty (unique)
Smokin' on cookies from granny (trees)
Pocket rocket, go go gadget (go go)
I make a play, Madden (John)
I know it was some speculation 'bout who the one
But we invented the dabbin' (dab)
Fuck it, we just let 'em have it (have it)
Draco for niggas with static (brrt, static)
I can do magic and make me a rabbit
With usin' my karats (ice, woah)
Gelato package, I'm drinkin' on Actavis, expensive habits (Actavis, mud)
Yellow bitch, Pikachu (bitch)
Cameltoe peekin' at you (look at you)
Peek-a-boo
Peek-a-boo, peek-a-boo",https://genius.com/Lil-yachty-peek-a-boo-lyrics
One Night,Lil Boat ,2015.0,"I know you want this for life
Taking pictures with all my ice
But I can't have no wife
I just want you for the night
I know you want this for life
Taking pictures with all my ice
But I can't have no wife
I just want you for the night

I know you want this for life
Fuck you so good you be calling out the Christ
Bottles of the Tech, got it laid on ice
We spent four seasons at the Four Seasons twice
You be calling all your homegirls like, ""I'm his wife""
Hell nah, you trippin', reevaluate your life
I can't love no bitch, every single ho is trife
I sip dirty Sprite just to get me through the night
But I need you there
Promise that I need you there
Ain't no other bitch gon' fuck me like you do, I swear
Put that on my gang, I swear
I just can't put you on front street like you want, I know
But baby, you is not no ho
And I put it on my gang, I'm not no average Joe (No average Joe)
It's Yachty from the block, you know (Yeah)

I know you want this for life
Taking pictures with all my ice
But I can't have no wife
I just want you for the night
I know you want this for life
Taking pictures with all my ice
But I can't have no wife
I just want you for the night

Don't you tell no one, no, no, no
Baby, don't you tell no one
We gon' keep this just between us, we gon' have some fun (Have some fun)
Fuck until the morning come
When the morning come I'll make you cum
But then then I gotta run
'Cause, baby, I got shit to do
Stack my bread up, fuck your head up
That's just what I do (That's what I do)
Chillin' on my avenue
If you ain't remember, I remember, girl
That's where I first met you
You had you a drink or two (You had a drink or two)
You came over half and sober callin' me your boo
Then you turned around and fucked the crew
I got no love for you

I can't have no wife, one night
You want this for life
But I can't, I can't have no wife
No wife, no, no wife
Just one night, one night
I can't, can't have no wife
I know you want this for life
But I can't have no wife
I just want you for one night

I just want you for one night
I know you want this for life, but no
No, no, no
I can't have no wife",https://genius.com/Lil-yachty-one-night-lyrics
Minnesota,UnKnown,2015.0,"You need to stay up out them streets if you can't take the heat
You need to stay up out them streets if you can't take the heat
Cause it get cold like Minnesota, cold like Minnesota
Cold like Minnesota, cold like Minnesota
Need to stay up out them streets if you can't take the heat
You need to stay up out them streets if you can't take the heat
Cause it get cold like Minnesota, cold like Minnesota
Cold like Minnesota, it get cold like Minnesota
Need to stay up out them streets if you can't take the heat
You need to stay up out them streets if you can't take the heat

Cause it get cold like Minnesota, ridin' 'round on boulders
Money sittin' up, it sits way above your shoulders
I was eatin' pork and rinds with a bitch from New York Times
I don't eat no pork and rinds but that bitch was mighty fine
I got gold all on my necklace, tatted up my arms
Now my mama think I'm reckless, got guns under my mattress
I was juggin since a youngin', free my older cousin Reesey
He from Hamilton not D.C, I rock N.Bs like I'm Gleeshy
Flip phone banging off the walls, Gucci on my drawers
Why the fuck you in these streets if you're scared of them four walls?
I was strokin' on your sister, she was callin' me her mister
She suck dick for a picture, it's Lil Yachty nice to meet you
I was juggin' off them stacks, countin' up them racks
Almost had a lifetime sentence, but I beat it, shout out to Pat!
Pat, that's my lawyer, he got me off them chargers
8 stacks for that boy, he took care of the boy

Cold like Minnesota, cold like Minnesota
Cold like Minnesota, it get cold like Minnesota
Need to stay up out them streets if you can't take the heat
You need to stay up out them streets if you can't take the heat
Cause it get cold like Minnesota, cold like Minnesota
Cold like Minnesota, it get cold like Minnesota",https://genius.com/Lil-yachty-minnesota-lyrics
NBAYOUNGBOAT,Lil Boat 2,2018.0,"[Intro: YoungBoy Never Broke Again & 
Lil Yachty
]
Wop, 
skrt
Skrt, skrt
Wop, wop
Skrt skrt, skrt skrt
I don't know what you take me for ho
Lil Boat
Wop, wop
I ain't goin' for it
Wop

Young nigga, rich nigga, I'm a bad bitch getter
Fuck nigga, ho nigga, I don't fuck with broke niggas
Always held my own since I jumped up off the porch, nigga
You ain't know, now you know, nigga, Hi-Tech pour a four, nigga

Bitch run me my sack before I come in
80,000 dollars plus a jet on a backend
20 twin twins finna get plucked like a chicken
Brother locked up, he spent much time in the kitchen
We ain't really with none of that pretendin' and shit (Pretendin' and shit)
I got six Catholic hoes in here sinnin' and shit (Sinnin' and shit)
Pour that shit up, bust it down (Woo)
Bought a new crib, it got several amenities (Gang)
You gon' get shot like the Kennedys (Yeah)
Fuckin' with Lil Boat and YB (Doot, pew)

Carbine it sound like a dump truck (Trra)
Soon as I up, he gon' back up (Boom boom)
She wanna fuck, I'ma smash her (Smash)
He want a verse, I'ma tax him (I'ma tax him)
Say you want smoke, it ain't 'bout nothing
I know that nigga ain't 'bout nothing (He ain't 'bout it)
Bring out the boat when the flood coming
Strapped with a TEC when you pull up on me

I'm with the .38 baby, my neck see more water than the Navy (Gang)
I was finna fuck your bitch, my nigga then I got lazy (Ugh)
I saw your new watch, that shit cool but my shit crazy
Canary yellow diamonds in my mouth like I bit a daisy (Yeah)
I'm with Lil Baby yeah, keep a .380, yeah (Pew pew)
I'm with big Slime, yeah you know we goin' brazy, yeah (Slatt)

17 with four babies, yeah
Lotta money, know they hate me, yeah
One on four, they try to play me, yeah
Shoot his ass right up in here (Pew pew, pew pew)
Diamonds, they shine like a headlight (Shine)
I keep that lil' bitch if her head right
I'ma lay up and fuck on her every night (Every night)
When I'm leavin' I'm headin' straight to the flight (No)
Got a tiger but no I'm not Mike Tyson (Mike Tyson)
Scuff in the club like Fight Night (Fight Night)
I make that lil' ho act right (Act right)
I tell that bitch fuck up my sack right (Bitch)
[Verse 6: Lil Yachty & 
YoungBoy Never Broke Again
]
Put that lil' bitch on a Spirit flight (Gang)
Return her next to me one night (Nyoom)
We running and ducking from squad lights (Woo)
I got 32 shots in the gun fight
These niggas sweet like a honey bun (Sweet)
Don't worry 'bout where my money from
At the crib, on the couch, we got huntin' guns (Doot)
Dissect his hand from his other arm (Doot, doot, doot)
Young nigga, rich nigga, I'm a big bag getter (Woo)
Bitch nigga, snitch nigga, never met a real nigga (Bitch)
Never had six figures, my bitch do tricks nigga
I go by Lil Boat and I'm coolin' with some real hittas (Gang)
Whip on the wrist, that's a brick on the fist, nigga
No light needed for this chain, it's gon' glist nigga (Yeah)
VS, one stone, that shit not far from flawless
Fuck a pretty bitch, nigga, my money gorgeous, bitch (Lil Boat)",https://genius.com/Lil-yachty-nbayoungboat-lyrics
66,Lil Boat 2,2018.0,"DY Krazy

Racks up, racks up, pullin' up, Bentley truck
Semi, semi, keep it tucked, bad bitch, bubble butt
14, 14, high school, servin' beans
Dropped out, now I'm rich, flexin' 'til I'm 66

Ayy, ayy
Flexin' for these bands, finna pop out, ayy
Boolin' on the block I got my Glock out, ayy
I just pulled up in a Bentley
All the hatred go right to your fuckin' kidney
Flexin' bands, lil' nigga won't get a penny, yeah
I'ma keep on runnin' it up, ayy
I'ma keep on runnin' it up, fuckin' it up
This choppa bustin' you up, ayy
There you go, testin' your luck, dumb as fuck, yeah (Ayy, ooh)
Flexin' baby, pull up in a drop top, ayy
Diamonds dancin' on me, baby hopscotch
Bling blaow, shinin' fresh just like some Pop Rocks, ayy
Fireworks, when I pull up to your block, pop

Racks up, racks up, pullin' up, Bentley truck
Semi, semi, keep it tucked, bad bitch, bubble butt
14, 14, high school, servin' beans
Dropped out, now I'm rich, flexin' 'til I'm 66
Racks up, racks up, pullin' up, Bentley truck
Semi, semi, keep it tucked, bad bitch, bubble butt
14, 14, high school, servin' beans
Dropped out, now I'm rich, flexin' 'til I'm 66

Ayy, when my brother get out, told him ain't no block now
Same bitches curbin' all up on my cock now
20 bitches and they all comin' with me (Skrrt, skrrt)
Side by side, me and Trippie in the Bentley (Skrrt, skrrt)
Ayy, and I bought it ain't no rentin'
Baby girl I'm tryna fuck, why is you ventin'? (Huh, huh)
In 2016, I grind harder than your skate team (Huh, huh)
2018, I need at least like eight rings (Huh, huh)

Racks up, racks up (Gang, gang), pullin' up, Bentley truck (Yeah)
Semi, semi, keep it tucked (Yeah), bad bitch, bubble butt (Woah)
14, 14 ('Teen), high school, servin' beans (Beans)
Dropped out, now I'm rich (Yeah), flexin' 'til I'm 66 (Yeah)
Racks up, racks up (Yeah), pullin' up, Bentley truck (Skrrt)
Semi, semi, keep it tucked (Yeah), bad bitch, bubble butt (Aight)
14, 14 (Yeah), high school, servin' beans (Beans)
Dropped out, now I'm rich (Yeah), flexin' 'til I'm 66",https://genius.com/Lil-yachty-66-lyrics
Wanna Be Us,Lil Boat ,2016.0,"[Hook: Lil Yachty, 
Shemida J
, & 
Both
]
Bitch, you know it's Lil Boat
Bitch, it's Lil Boat and Lil Perry (
Perry
)
I keep them hoes like a ferry
My hair be red like a cherry
All of them niggas, they know
All of them niggas, they know me
All of them niggas, they know us
 (woah, woah, woah)
Them niggas, they wanna be us, damn
Bitch, you know it's Lil Boat
Bitch, it's Lil Boat and Lil Perry
I keep them hoes like a ferry
My hair be red like a cherry
All of them niggas, they know
All of them niggas
, they know me
All of them niggas, they know us
Them niggas, they wanna be us
Woah, damn

Shout out to my nigga Colby (woah)
Gold on my neck like a trophy (woah)
Lil Boat powered up like a Mophie (woah)
Lil Boat, that nigga stay low-key (oh, woah)
All of these bitches, they know me (damn)
All of these bitches, they on me (oh, damn)
That bitch, she smile like emoji (emoji)
That bitch, she smile like emoji (woah, damn)
Woah, damn, I be posted up with Perry (with Perry)
I be counting up the guap
Keep a condom in my sock
'Cause these bitches on my cock
I need a mouth full of rocks (yeah)
And I need me a Rollie
Need a mansion for my brodies (woah)
Need my diamonds to be dancin' (woah, damn)
[Hook: Lil Yachty, 
Shemida J
, & 
Both
]
Bitch, you know it's Lil Boat
Bitch, it's Lil Boat and Lil Perry (
Perry
)
I keep them hoes like a ferry
My hair be red like a cherry
All of them niggas, they know
All of them niggas, they know me
All of them niggas, they know us
 (woah, woah, woah)
Them niggas, they wanna be us, damn
Bitch, you know it's Lil Boat
Bitch, it's Lil Boat and Lil Perry
I keep them hoes like a ferry
My hair be red like a cherry
All of them niggas, they know
All of them niggas
, they know me
All of them niggas, they know us
Them niggas, they wanna be us

All of these niggas, they know (they know)
I need my bitch like a Reese's (Reese's)
Got your bitch wet like the Ganges
Walking on water like Jesus (like Jesus)
Bitches, they changing like seasons (oh!)
I need like five for my leases (woah)
I got ice on my wrist (woah)
Whipping the work like a Prius
None of these niggas can see us (nah)
I'm up in the Himalayas
Bitches they trying to lay us
I hit that bitch, then I lay up (woo!)
Put it in like a finger roll
Hit that bitch and then I troll
Can't have one bitch, I need like four
They scream my name at the shows
[Hook: Lil Yachty, 
Shemida J
, & 
Both
]
Bitch, you know it's Lil Boat
Bitch, it's Lil Boat and Lil Perry (
Perry
)
I keep them hoes like a ferry
My hair be red like a cherry
All of them niggas, they know
All of them niggas, they know me
All of them niggas, they know us
 (woah, woah, woah)
Them niggas, they wanna be us, damn
Bitch, you know it's Lil Boat
Bitch, it's Lil Boat and Lil Perry
I keep them hoes like a ferry
My hair be red like a cherry
All of them niggas, they know
All of them niggas
, they know me
All of them niggas, they know us
Them niggas, they wanna be us",https://genius.com/Lil-yachty-wanna-be-us-lyrics
Intro,Lil Boat ,2016.0,"[Sample: Dory & 
Marlin
]
Hey, Mr. Grumpy Gills
When life gets you down, you know what you gotta do?
I don't know what you gotta do when life gets you down
Just keep swimming, just keep swimming
Just keep swimming, swimming, swimming
Dory, no singing
What do we do? We swim
Ho ho ho ho ho ho ho, I love to swim
Dory, Dory
When you want to swim
[Intro: Darnell Boat & 
Lil Boat
]
Oh, okay. Where? Oh, you want me to sit right here? Where, look right there? Okay, okay, alright. I got it. Well... well, hello folks, Darnell Boat here. Today, I'ma tell you a little story about my two nephews, Lil Yachty and Lil Boat. Well, I don't know where to start. Look, here's Lil Boat now
Lil Boat!
Okay

I've got these strange voices inside my head
Keep a stack and .380 beside my bed
Not to be cool, but in case they run up on me
If y'all bet on my fam, clutch with double on me
Went to school on a dirt road with black hoes and potholes
This shit was just then, this was four months
Late nights with gang on them store hunts
Loitering Walmart for pure fun
Look at me now, all of my classmates like, ""Wow""
My teachers like, ""Damn""
I remember I didn't have not a fan
Now I step out and Lil Boat is the man
Woah, this shit is surreal
Pockets stuffed in with blue bills
So much people trying to ask how it feels
But, nigga, I don't know
Everyday I ball like finger roll (woo!)
How'd you do it? Only God knows (oh!)
I want to know who's real until the time folds
People looking at Lil Boat with their hands out cause I'm wearing nicer clothes
I'ma stay down with the same niggas I came up with, that's the master plan
26 for a nigga hand, diamonds so cold you might need a fan (woo!)
I don't know who I am sometimes
I might rap a verse, I might sing a song
Came up overnight from one song
One night get her out the thong
Old heads hating on Boat
'Cause I'm young as fuck and I'm rich as hell
Pants low like I'm fresh in jail
But I've been out, motherfuck 12 (woo!)
[Interlude: Darnell Boat & 
Lil Yachty
]
See, he's a little--he's a little bit more aggressive. Well, you know, as this story unfolds, and you know what I'm saying, as the story gets told, uh, I'll tell you a little bit more about Yachty. He's a little bit nicer. Let's call him
Hello? Hello?

Oh, oh, ohhh
Hello Boat, it's so nice to meet you
I'm so glad you came
Hello, hello
What's poppin'? It's Lil Yachty, I'm in the party
I need three thotties to come suck on my posse
What's poppin'? Woah
Hello, hello, hello
Hello, hello
Hello, hello, hello, hello
Hello, hello, hello
Oh, hello
Welcome to my life
Hello, hello, hello",https://genius.com/Lil-yachty-intro-lyrics
MICKEY,Lil Boat 2,2018.0,"30, you a fool for this one
[Verse 1: Offset & 
Lil Yachty
]
Trappin' out the back street
Runnin' through the packs like a track meet 
(Zoom)
Pull up with two pistols on me, Max P
Back to back the Bentley truck, we on repeat
Drippin' on these bitches, put a stain on 'em
Lamborghini Aventador, no brain on it
Iced out Patek with the rain on it
Automatic with the scope, range on it

Spent 160, that's on two watches (Two watches)
God damn, think I need a new hobby (New hobby)
Bought a chain, coulda bought a Bugatti (Bugatti)
Niggas dick ridin' with a Ducati (Ducati)
Check it out, check it out, check it out (Woo)
Ridin' 'round town with the sticks out (Woo)
It's fashion week, so I bought the Rick's out (Woo)
These niggas rats, no Mickey Mouse

(Yeah)
These niggas hatin' 'cause I'm too rich (Too rich)
Big carats, same size Cheez-Its (Cheez-Its)
88 thou' for a new wrist (Whoo)
Peter Piper, pull up with a new pistol (Pew, pew)
Those not diamonds, those crystals
Runnin' to the money like I'm Frank Gore (Yuh)
This ring cost more than a Honda 'Cord (Skrt)
Fuck with the set then it's over with (Over with)
Walk in the spot, get it overlit (Overlit)
I want some pussy, she open it (Open it)
Fuck her one time then I'm over it (Over it)
These niggas weird and they talk too much (Yuh)
All these new niggas, they socialists (Yuh)
Holdin' on tight to my braggin' rights
I write my name on the mogul list

Spent 160, that's on two watches (Two watches)
God damn, think I need a new hobby (New hobby)
Bought a chain, coulda bought a Bugatti (Bugatti)
Niggas dick ridin' with a Ducati (Ducati)
Check it out, check it out, check it out (Woo)
Ridin' 'round town with the sticks out (Woo)
It's fashion week, so I bought the Rick's out (Woo)
These niggas rats, no Mickey Mouse (Gang)

Million dollar lick but I missed out (Missed out)
Had to sleep on the drank, I was pissed off (Pissed off)
Got 100 on your hand, hold your wrist out (Wrist out)
Hellcat racecar, no pitstop (No pitstop)
Had a million dollars cash at my bitch house (Bitch house)
Wearin' 20,000 dollar outfits now (Outfits)
Coupe cost 160 and I cashed out (Cash)
Lil' Steve comin' home, 'bout to max out
Anything I buy, I'm spendin' all 20s
100s and 50s goin' to the grave wit me (Yeah)
I sleep with a chopper and bathe with a glizzy
A nigga try Yachty, we shootin' up the city (Frrah)
Ask them other niggas how we got busy (How we got busy)
It ain't no sleep 'til we hittin' the victim (Hittin' our victim)
Nigga play gangster, but we know they bitches (We know they bitches)
I'm thinkin' they mad 'cause we fuckin' they bitches

Spent 160, that's on two watches (Two watches)
God damn, think I need a new hobby (New hobby)
Bought a chain, coulda bought a Bugatti (Bugatti)
Niggas dick ridin' with a Ducati (Ducati)
Check it out, check it out, check it out (Woo)
Ridin' 'round town with the sticks out (Woo)
It's fashion week, so I bought the Rick's out (Woo)
These niggas rats, no Mickey Mouse (Gang)",https://genius.com/Lil-yachty-mickey-lyrics
All In,Summer Songs 2,2016.0,"Yeah, yeah, Lil Boat
All my brothers with me!
Yeah
From the start, they been with me from the start
I love y'all!
Gang, gang, gang, gang

Bankroll after bankroll I spend
Bankroll after bankroll I spend
Bankroll after bankroll I spend
Bankroll after bankroll I spend
Seven years later and I got the same friends
Bankroll after bankroll I spend
Seven years later and I got the same friends
All in, yeah I'm all in, I'm all in
All in, yeah I'm all in, I'm all in

All in with a pair of twins in a Benz
Just bought a new necklace and it came with heavy winds
She suck me like a push-pop, she love cock
My brothers they been with me from the very start
Recorded in the closet with sock mics
If one fight we all fight, it's fight night

Bankroll after bankroll I spend
Seven years later and I got the same friends
All in, yeah I'm all in, I'm all in
All in, yeah I'm all in, I'm all in

Black and white like a zebra
I don't sell furniture but nigga IKEA
I have an idea, headshot, ID ya
Media wanna see me in jail like Madea
If my career go south I'm going to South Korea
Macaroni sells, I been macking, making macarena
I'm cleaner than the cleanest
It's Byou, nice to meet you
This ain't a cookout but my meat on her grill

I started off like I'm a goonie
When I got in they gave me a toolie
I'm high off these snacks like I'm Scooby
I can't be no average joe
Never fucked an average ho
We lit and you know it's a problem
Grill like I'm eating on pollen
Keep a bitch on my thigh like a pocket
If I fuck her she sucking the gang
Me and my brothers done did everything
Backwood, it's stuffed, look like Oreo
If you know me I know that you owe me
Kay the Yacht keep a K and a forty
Balmains on me like I'm lonely
Fired a banker for twenty
Thumb in her butt while she sippin' the Henny
I know that my gang won't forget me

Bankroll after bankroll I spend
Seven years later and I got the same friends
All in, yeah I'm all in, I'm all in
All in, yeah I'm all in, I'm all in

You a stain, you a lame
Swerving hoes like I got a cane
Old friends call me, say they can't look at Perry the same
Perry growin' up and I got the same gang
100 deep, run up, yeah I'm glad you came
Young nigga with expensive tastes
Matter fact, ask your girl 'fore you go and kiss her face
Damn, who is she, let me check my database
Yeah, Perry here, the other human race

I'm all in, I'm all in, I'm all in
Bitch I'm ballin', I'm ballin', I'm ballin'
These bitches callin', they stalkin', they stallin'
25 just for a fucking walk in

All in, 40 for the walk in
Now I'm flossin', drop top Slauson
Got a goth bitch, she put me in a coffin
Got a dog bitch, now she leaving paw-prints
Still ridin' sports when I'm sittin' in it's great
Tell my bitch make a play, now I'm frosted like a cake
Chef knife with the steak, now I'm flexing heavyweight
In the six like a date, all my partners livin' great

Bankroll after bankroll I'm stacking
JBan$ keep three phones, I'm trapping
Working with the work, I double up, it's magic
Chopper make a nigga backflip, gymnastics
Bad bitch take off with the pack if you lackin'
Got 100 bloods posted in the back with rachets
Pull off in the Aston, ball like Collin Sexton
26's for my wrist, diamonds dancing like they Prince

Bankroll after bankroll I love to spend, yeah
When I get it back I love to spend it all again, yeah
Boomin' out the gym, yeah, way above the rim, yeah
Ten up on my neck and I spent fifteen for my wrist, yeah
Woah up on my wrist, yeah, wetter than a fish, yeah
Woah, you just want to come because I'm next, yeah
Woah, you just like that glow that's from my neck, yeah
Woah, I'm tired of talking, can you cut my check, yeah
Woah

Bankroll after bankroll I spend (I spend)
Only love my gang, I don't got no new friends (no new niggas)
Hit your bitch from the back and I watch her bend (dumb bitch)
NAZ for life, nigga, that's 'til the end
I only want to fuck, I can't be your boyfriend (stupid bitch)
I speak rich nigga shit, broke niggas can't comprehend
Ayy, it's Cartiers all over my lens
All hundreds in my bankroll, I don't do no tens

Never Amount To Zero in this bitch, you understand that?
2016 Dream Team, matching Bimmer boys, let's get it
Got love for all my niggas
We all in, we all fam

All in
All my brothers all in
Same gang, I got the same friends
I promise that I'm all in
I'm all in, I'm all in
All in
Fuck it I might cop the Benz
Oh, I'm all in
All in, ah, oh
Sailing Team
Lil Boat, Lil Boat
Summer Songs 2
It's a wrap",https://genius.com/Lil-yachty-all-in-lyrics
